Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
4,90,,16.0,16.0,,10346.0,10346.0,,,2,,1.0,1.0,6.0,94105,1515296164483
7,100,,4.0,4.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94107,1513450506103
6,77,0.0,6.0,6.0,,3000.0,3000.0,,,2,,3.0,3.0,3.0,94108,1513523300847
1,2175,,,6.0,,10000.0,10000.0,0.0,88.0,2,,,1.0,8.0,94114,1333885157596
6,250,,6.0,6.0,,18000.0,50000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,151433367008
5,415,,67.0,67.0,,3000.0,150000.0,,,2,,1.0,1.0,6.0,94105,1513588495332
3,500,0.0,10.0,10.0,,6000.0,6000.0,,,2,,1.0,1.0,6.0,94105,1507428480621
5,100,,4.0,4.0,,1429345.0,1500000.0,,,2,,1.0,1.0,6.0,94107,1497237506103
6,595,,31.0,31.0,,9000.0,9000.0,,,2,,1.0,1.0,6.0,94105,1500673164531
3,1623,,4.0,4.0,,1.0,1000.0,41.0,41.0,2,,3.0,3.0,3.0,94109,1501930271718
7,809,0.0,3.0,3.0,,135880.0,135880.0,0.0,0.0,2,,3.0,3.0,3.0,94133,1496404295660
4,415,,63.0,63.0,,680000.0,680000.0,,,2,,1.0,1.0,6.0,94105,1506188495332
4,181,,55.0,55.0,,10000.0,15000.0,74.0,74.0,2,,1.0,1.0,6.0,94105,1504087510886
6,2,,30.0,30.0,,1200.0,1200.0,,,2,,1.0,1.0,3.0,94111,149921163348
2,150,,18.0,18.0,,6500.0,6500.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1506654164642
8,475,,2.0,2.0,,15000.0,15000.0,,,2,,5.0,5.0,6.0,94103,1500519166521
4,415,,63.0,63.0,,55000.0,55000.0,,,2,,1.0,1.0,6.0,94105,1509454495332
5,303,,10.0,10.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1494604347172
6,580,,,5.0,,1.0,5000.0,,29.0,2,,,1.0,5.0,94102,149833282001
3,250,,4.0,,,1600.0,500.0,250.0,,2,,1.0,,3.0,94133,1509402230553
4,2169,,4.0,4.0,,18300.0,18300.0,16.0,16.0,0,,5.0,5.0,9.0,94110,1500572496457
7,1201,0.0,3.0,3.0,,21000.0,41000.0,12.0,12.0,2,,1.0,1.0,3.0,94109,1501122295379
8,839,0.0,3.0,3.0,,30600.0,30600.0,7.0,7.0,2,,5.0,5.0,5.0,94117,1511024414512
2,1830,,2.0,,,5000.0,5000.0,13.0,,2,,1.0,,7.0,94112,1497243156024
5,430,,8.0,8.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94102,1504876362207
5,3325,,2.0,2.0,,10000.0,10000.0,1.0,1.0,0,,5.0,5.0,4.0,94122,1504484111378
5,420,,,,,1.0,1.0,,,2,,,,10.0,94107,1655018508727
7,2,,8.0,8.0,,150244.0,150244.0,,,2,,2.0,2.0,6.0,94105,1497780249323
4,1730,,4.0,4.0,,5000.0,5000.0,5.0,5.0,2,,2.0,2.0,3.0,94133,150592660688
5,350,,30.0,30.0,,800000.0,800000.0,0.0,0.0,0,,1.0,1.0,6.0,94105,1500770164586
3,98,,36.0,36.0,,1100000.0,1500000.0,,,2,,1.0,1.0,3.0,94104,150108067107
