Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
1,1489,,14.0,14.0,,35000.0,35000.0,156.0,156.0,2,,1.0,1.0,5.0,94115,142703579983
5,1265,,3.0,4.0,,175000.0,0.0,12.0,14.0,2,,5.0,5.0,3.0,94108,142407862598
3,343,0.0,16.0,16.0,,21000.0,21000.0,,,2,,3.0,3.0,3.0,94104,1421036392321
4,620,,4.0,4.0,,135000.0,230000.0,52.0,52.0,2,,1.0,1.0,3.0,94111,1417425429533
5,1,,43.0,43.0,,1.0,0.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1417825164605
5,1819,0.0,4.0,4.0,,30000.0,55000.0,16.0,16.0,2,,5.0,5.0,5.0,94115,1418004414852
7,1579,,1.0,2.0,,120000.0,120000.0,,,2,,5.0,5.0,10.0,94124,1417053472703
8,350,,28.0,28.0,,47560.0,47560.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1421872164586
7,2475,,4.0,4.0,,1.0,1.0,,,2,,1.0,1.0,10.0,94107,1417231474579
5,2300,,2.0,2.0,,75000.0,75000.0,0.0,0.0,2,,5.0,5.0,10.0,94107,1413225373584
7,814,,3.0,3.0,,32000.0,32000.0,0.0,0.0,2,,3.0,3.0,3.0,94133,141048861579
5,275,0.0,30.0,30.0,,5000.0,5000.0,,,2,,1.0,1.0,3.0,94104,1422405296686
1,645,,0.0,5.0,,1000.0,7000.0,0.0,94.0,2,,,5.0,10.0,94107,1414924170730
6,468,,3.0,3.0,,1.0,50000.0,9.0,9.0,2,,5.0,5.0,5.0,94102,142736782170
1,600,,6.0,6.0,,50000.0,1000000.0,,,2,,1.0,1.0,6.0,94107,1414040165832
2,505,,10.0,10.0,,95200.0,95200.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1422902496570
6,444,,1.0,1.0,,8528.0,8528.0,0.0,0.0,2,,1.0,1.0,3.0,94111,156531562272
2,1441,0.0,4.0,4.0,,25000.0,35000.0,12.0,12.0,2,,5.0,5.0,3.0,94109,1427743297370
8,1552,,1.0,1.0,,100000.0,300000.0,0.0,0.0,2,,3.0,3.0,10.0,94124,1413745472711
8,250,,45.0,45.0,,65000.0,65000.0,,,2,,1.0,1.0,6.0,94105,1569390509623
5,50,,43.0,43.0,,52000.0,52000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1412395164573
3,301,,23.0,23.0,,8320.0,8320.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1421558165667
5,1274,1.0,4.0,4.0,,4000.0,4000.0,3.0,3.0,2,,5.0,5.0,3.0,94109,1423893499154
1,949,,3.0,3.0,,30000.0,30000.0,12.0,12.0,2,,5.0,5.0,5.0,94117,1418538237424
4,185,,6.0,6.0,,1.0,1.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1410931348598
4,2011,,1.0,,,3000.0,3000.0,,,2,,3.0,,2.0,94115,142119377913
1,3278,,3.0,3.0,,30000.0,30000.0,2.0,2.0,2,,5.0,5.0,9.0,94110,1427925161801
2,2280,,3.0,3.0,,5000.0,5000.0,15.0,15.0,2,,5.0,5.0,2.0,94115,14270271170
8,250,,6.0,6.0,,800.0,0.0,0.0,0.0,2,,1.0,1.0,3.0,94108,141172967008
8,2,,30.0,30.0,,48000.0,48000.0,,,2,,1.0,1.0,3.0,94111,141613863348
3,360,,5.0,5.0,,8789.0,2128.0,,,2,,1.0,1.0,6.0,94107,1414288488748
4,275,0.0,32.0,32.0,,1020.0,1020.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1425268296686
3,235,,24.0,24.0,,9000.0,9000.0,,,2,,1.0,1.0,3.0,94104,139962866161
2,1910,0.0,4.0,4.0,,8500.0,8500.0,1.0,1.0,2,,5.0,5.0,2.0,94123,1398830303451
6,3535,,3.0,3.0,,45000.0,60000.0,12.0,12.0,2,,5.0,5.0,2.0,94123,140436471157
5,600,,2.0,2.0,,60000.0,60001.0,0.0,0.0,2,,2.0,2.0,5.0,94109,140868969891
8,2,,2.0,2.0,,16000.0,46200.0,,,2,,1.0,1.0,3.0,94108,1398981348481
8,8,,0.0,0.0,,8000.0,8000.0,0.0,0.0,2,,5.0,5.0,3.0,94105,1409769505548
3,345,,6.0,6.0,,326970.0,326970.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1407056167835
8,1,,42.0,42.0,,30300.0,30300.0,,,2,,1.0,1.0,6.0,94105,1406189164605
8,235,0.0,6.0,6.0,,5250000.0,5250000.0,,,2,,1.0,1.0,6.0,94105,1409001480622
6,22,,16.0,16.0,,42000.0,42000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1398758497172
8,901,,4.0,4.0,,155000.0,155000.0,0.0,0.0,2,,2.0,2.0,2.0,94109,140821880462
6,2101,,4.0,4.0,,10000.0,10000.0,0.0,0.0,2,,3.0,3.0,9.0,94110,1400136159387
6,1650,,6.0,6.0,,3000.0,3000.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1407476423736
3,333,,5.0,5.0,,35000.0,35000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1407185488747
5,200,,5.0,5.0,,10300.0,10300.0,0.0,0.0,2,,1.0,1.0,10.0,94124,1408566182252
4,555,0.0,52.0,52.0,,25000.0,25000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1404068298587
6,1455,,22.0,22.0,,50000.0,50000.0,,,2,,1.0,1.0,6.0,94103,1399288394002
3,799,,6.0,6.0,,30000.0,0.0,,,2,,1.0,1.0,6.0,94103,1400668164442
2,969,,3.0,3.0,,15000.0,20000.0,10.0,10.0,2,,5.0,5.0,9.0,94110,1404425161805
1,801,,5.0,5.0,,10000.0,15000.0,0.0,0.0,2,,1.0,1.0,3.0,94133,139993261599
4,650,0.0,33.0,33.0,,30000.0,30000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1407780296980
8,425,0.0,28.0,28.0,,15000.0,15000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1401972298601
4,600,,4.0,4.0,,223800.0,223800.0,0.0,0.0,2,,5.0,5.0,6.0,94107,1401784454861
1,350,0.0,22.0,22.0,,10000.0,20000.0,,,2,,1.0,1.0,3.0,94104,1409890297063
4,1,,,,,28000.0,0.0,,,2,,,,7.0,94132,1398825359813
2,67,,5.0,5.0,,380000.0,380000.0,124.0,124.0,2,,1.0,1.0,5.0,94102,1402152430469
6,255,,14.0,14.0,,10000.0,10000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,140507166077
4,274,,6.0,6.0,,20000.0,0.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1404874167205
1,1,,42.0,42.0,,1000.0,1000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1403364164604
4,51,,0.0,5.0,,10000.0,15000.0,0.0,36.0,2,,,5.0,10.0,94124,1403565493671
4,1,,43.0,43.0,,36300.0,36300.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1408709164605
3,450,,2.0,2.0,,40000.0,40000.0,0.0,0.0,2,,3.0,3.0,9.0,94110,1406024160644
5,188,,12.0,12.0,,5500.0,5656.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1405698488112
2,101,,48.0,48.0,,12000.0,12000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,139954566081
8,100,,28.0,,,7500.0,7500.0,399.0,,2,,1.0,,6.0,94102,140614882089
3,90,,8.0,8.0,,189000.0,189000.0,127.0,127.0,2,,1.0,1.0,6.0,94102,1403557505184
8,1305,,3.0,3.0,,10000.0,10000.0,6.0,6.0,2,,5.0,5.0,3.0,94109,139896372162
5,1950,,2.0,2.0,,35000.0,80000.0,0.0,0.0,2,,3.0,3.0,5.0,94117,1402870373149
3,101,,0.0,13.0,,13800.0,13800.0,0.0,162.0,2,,,1.0,6.0,94102,1402130497157
3,1580,,9.0,9.0,,8761.0,8761.0,0.0,0.0,2,,1.0,1.0,9.0,94110,1406571503116
5,888,,2.0,2.0,,20000.0,80000.0,0.0,0.0,2,,5.0,5.0,10.0,94124,1405177174102
2,52,,0.0,5.0,,10000.0,15000.0,0.0,36.0,2,,,5.0,10.0,94124,1403568493646
5,4,,40.0,40.0,,35900.0,35900.0,0.0,0.0,2,,1.0,1.0,3.0,94111,140408463352
3,450,,2.0,2.0,,3000.0,3000.0,0.0,0.0,2,,3.0,3.0,9.0,94110,1400421160644
6,101,,48.0,48.0,,7500.0,7500.0,0.0,0.0,2,,1.0,1.0,3.0,94111,139954466081
1,900,,1.0,1.0,,5000.0,7000.0,0.0,0.0,2,,1.0,1.0,10.0,94124,1409374173663
5,625,,4.0,4.0,,6000.0,6000.0,,,2,,1.0,1.0,6.0,94107,1399074167843
6,2339,,4.0,4.0,,70000.0,70000.0,12.0,12.0,2,,5.0,5.0,2.0,94115,140702077896
2,111,0.0,24.0,24.0,,4222.0,4222.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1406747299403
4,425,0.0,26.0,26.0,,1000000.0,1000000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1564259298601
1,444,,2.0,2.0,,750000.0,2300000.0,0.0,0.0,2,,2.0,2.0,6.0,94107,1409186167651
4,650,,7.0,7.0,,7205.0,2068.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1401190348556
6,802,,2.0,2.0,,25000.0,58000.0,2.0,2.0,2,,5.0,5.0,9.0,94110,1399795453872
3,501,,5.0,5.0,,300000.0,300000.0,0.0,0.0,2,,1.0,1.0,6.0,94107,1402782167201
4,1345,,5.0,5.0,,300000.0,300000.0,200.0,200.0,2,,1.0,1.0,6.0,94158,1582072507604
2,807,0.0,2.0,2.0,,8900.0,8900.0,,,2,,3.0,3.0,3.0,94133,1397946295769
2,1180,,2.0,2.0,,25000.0,25000.0,,,2,,3.0,3.0,3.0,94109,1397801384635
4,461,,2.0,,,2000.0,2000.0,,,2,,3.0,,6.0,94107,1395830167313
7,1,,43.0,43.0,,5000.0,5000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,153913267085
5,760,,2.0,2.0,,1000.0,1000.0,,,2,,3.0,3.0,6.0,94107,1392312165852
5,555,0.0,33.0,33.0,,12000.0,12000.0,,,2,,1.0,1.0,6.0,94105,1393333394511
3,710,,16.0,16.0,,600.0,600.0,291.0,291.0,2,,1.0,1.0,6.0,94107,1394231488023
5,345,,9.0,9.0,,50000.0,50000.0,,,2,,1.0,1.0,6.0,94105,1392775249322
8,855,,3.0,,,3000.0,3000.0,0.0,,2,,1.0,,6.0,94107,1393956373996
1,1966,,2.0,2.0,,50000.0,50000.0,1.0,1.0,2,,5.0,5.0,10.0,94124,1394488182332
7,1900,,3.0,3.0,,25000.0,25000.0,2.0,2.0,2,,5.0,5.0,9.0,94103,1398495157973
8,1244,,3.0,,,10000.0,10000.0,0.0,,2,,2.0,,3.0,94109,139310978405
8,151,807.0,9.0,9.0,,80000.0,60000.0,53.0,53.0,0,,5.0,5.0,5.0,94109,1390880406996
7,303,,10.0,10.0,,1500.0,1500.0,,,2,,1.0,1.0,6.0,94105,1546769347172
6,3038,,0.0,4.0,,13800.0,13800.0,0.0,6.0,2,,,5.0,1.0,94121,139712598162
3,1515,0.0,7.0,7.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94158,1545934469353
7,301,,35.0,35.0,,70000.0,70000.0,239.0,239.0,2,,1.0,1.0,6.0,94105,1556214475557
7,250,,45.0,45.0,,2000000.0,2000000.0,,,2,,1.0,1.0,6.0,94105,1555130509623
3,400,,4.0,4.0,,5665.0,6000.0,,,2,,1.0,1.0,6.0,94107,1395389360024
7,1390,0.0,29.0,29.0,,500000.0,500000.0,448.0,448.0,2,,1.0,1.0,6.0,94102,1404291469170
5,28,,38.0,38.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94105,1390896503130
5,111,,7.0,7.0,,1500.0,1500.0,,,2,,2.0,2.0,6.0,94105,1398190164756
3,1125,,2.0,2.0,,500000.0,1000000.0,,,2,,3.0,3.0,6.0,94103,1395107165047
1,235,,2.0,2.0,,40000.0,75000.0,,,2,,5.0,5.0,3.0,94133,1397528389021
8,855,,2.0,2.0,,199000.0,199000.0,,,2,,1.0,1.0,6.0,94107,1392803373996
1,1447,,2.0,2.0,,170000.0,170000.0,1.0,1.0,2,,5.0,5.0,10.0,94124,1395542175450
4,888,,5.0,5.0,,9743.0,18200.0,,,2,,1.0,1.0,6.0,94103,1394316373726
4,4,,47.0,47.0,,4500000.0,4500000.0,,,2,,1.0,1.0,3.0,94111,155525063351
6,274,,6.0,6.0,,150000.0,150000.0,,,2,,3.0,3.0,6.0,94107,1390596167205
7,400,,,5.0,,6500.0,6500.0,,32.0,2,,,5.0,5.0,94102,1396387489735
8,425,,38.0,38.0,,55900.0,56900.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1397224164577
3,2133,0.0,4.0,4.0,,20000.0,20000.0,7.0,7.0,2,,5.0,5.0,2.0,94123,1394606303410
5,201,,30.0,30.0,,29680.0,30000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1397444164647
3,1201,0.0,1.0,1.0,,1.0,1.0,,,2,,2.0,2.0,6.0,94103,1539707436648
5,1830,,2.0,,,5000.0,5000.0,13.0,,2,,1.0,,7.0,94112,1392234156024
2,475,0.0,20.0,20.0,,5200.0,5200.0,,,2,,1.0,1.0,3.0,94111,1543070296673
5,215,,8.0,8.0,,20000.0,20000.0,,,2,,1.0,1.0,6.0,94105,1397756165668
4,3898,,1.0,,,1200.0,1200.0,0.0,,2,,2.0,,2.0,94118,1396848390083
7,455,,23.0,23.0,,288000.0,288000.0,,,2,,1.0,1.0,6.0,94105,1547095164576
5,2929,,2.0,2.0,,11000.0,10000.0,,,2,,3.0,3.0,9.0,94110,1393730169864
7,200,,2.0,2.0,,680000.0,680000.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1395322168087
1,846,0.0,4.0,4.0,,30000.0,0.0,32.0,32.0,2,,3.0,3.0,3.0,94108,1555735400498
2,185,,5.0,5.0,,44627.0,44627.0,,,2,,1.0,1.0,6.0,94158,1396681348598
5,714,,2.0,2.0,,16000.0,36000.0,0.0,0.0,2,,3.0,3.0,3.0,94111,1397660359318
5,2325,,1.0,1.0,,250000.0,280000.0,,,2,,2.0,2.0,3.0,94109,1395187363971
3,155,,16.0,16.0,,250000.0,250000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1554823350635
8,5,,0.0,,,600.0,,0.0,0.0,0,,,,1.0,94118,50592242440
2,444,,3.0,3.0,,120000.0,0.0,,,2,,3.0,3.0,10.0,94107,1542937168319
8,920,,7.0,7.0,,8000.0,19646.0,54.0,54.0,2,,3.0,3.0,2.0,94109,1394512503945
8,865,,8.0,8.0,,250000.0,400000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1392722164435
5,153,,0.0,0.0,,10000.0,10000.0,0.0,0.0,2,,,,10.0,94107,1540085168330
5,278,,7.0,7.0,,180433.0,180433.0,0.0,0.0,2,,1.0,1.0,3.0,94108,154355967134
5,1100,,0.0,0.0,,20000.0,150000.0,0.0,0.0,2,,,,3.0,94109,139736479883
5,100,,25.0,25.0,,40000.0,40000.0,,,2,,1.0,1.0,3.0,94104,1542447372147
2,2166,,,3.0,,5000.0,16400.0,,3.0,2,,,5.0,5.0,94117,1544685357227
5,888,,2.0,2.0,,100000.0,100000.0,,,2,,2.0,2.0,10.0,94107,1393328373234
2,355,204.0,4.0,4.0,,4626.0,6682.0,44.0,44.0,2,,3.0,3.0,6.0,94107,1391990167221
4,1475,,1.0,1.0,,250000.0,250000.0,,,2,,5.0,5.0,10.0,94107,1391779173350
1,625,,4.0,4.0,,796230.0,796230.0,0.0,0.0,2,,3.0,3.0,6.0,94107,1398213167843
7,4,,45.0,45.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94111,154431863351
6,2209,,2.0,2.0,,15000.0,0.0,2.0,2.0,2,,5.0,5.0,9.0,94110,1395019473541
1,505,0.0,20.0,20.0,,8224.0,8224.0,,,2,,1.0,1.0,3.0,94111,1391571296243
3,2155,1.0,3.0,3.0,,100000.0,100000.0,10.0,10.0,2,,5.0,5.0,2.0,94115,1394770399437
4,201,,18.0,18.0,,175000.0,175000.0,,,2,,1.0,1.0,6.0,94105,1547755165689
3,300,,11.0,11.0,,4807428.0,4807248.0,,,2,,1.0,1.0,6.0,94158,1553373430299
8,865,,8.0,8.0,,18000.0,50000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1392720164435
6,1,,1.0,1.0,,67461.0,67461.0,,,2,,1.0,1.0,8.0,94114,1550417381367
5,44,,43.0,43.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,154440967101
7,185,,5.0,5.0,,1100000.0,1100000.0,,,2,,1.0,1.0,6.0,94158,1398084348598
3,68,1.0,3.0,3.0,,30000.0,30000.0,16.0,16.0,0,,5.0,5.0,6.0,94103,1397817452153
5,795,,6.0,6.0,,1.0,1.0,,,2,,1.0,1.0,6.0,94107,1552745349317
3,228,,0.0,3.0,,25000.0,45000.0,0.0,2.0,2,,,5.0,1.0,94118,138932398897
6,235,,31.0,31.0,,5300.0,5300.0,,,2,,1.0,1.0,3.0,94104,153329966177
6,6215,,1.0,1.0,,1.0,0.0,,,2,,3.0,3.0,10.0,94124,1380000176428
5,989,,6.0,6.0,,125000.0,125000.0,,,2,,2.0,2.0,6.0,94103,1382119351558
3,828,,6.0,6.0,,3325.0,3325.0,19.0,19.0,2,,3.0,3.0,3.0,94109,1530655233570
8,415,,63.0,63.0,,69850.0,69850.0,,,2,,1.0,1.0,6.0,94105,1530488495332
2,2066,0.0,3.0,3.0,,2000.0,5000.0,3.0,3.0,2,,5.0,5.0,2.0,94118,1381630421578
4,1648,101.0,1.0,,,,,0.0,,0,,5.0,,2.0,94123,86013373157
7,555,0.0,52.0,52.0,,600000.0,600000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1379555298587
7,221,,16.0,16.0,,200000.0,450000.0,,,2,,1.0,1.0,6.0,94105,1380401165681
7,45,,4.0,4.0,,125000.0,125000.0,,,2,,1.0,1.0,8.0,94114,1383445373420
3,1040,,3.0,3.0,,10000.0,10000.0,48.0,51.0,2,,5.0,5.0,6.0,94103,1379794165347
8,250,,17.0,17.0,,35000.0,35000.0,,,2,,1.0,1.0,3.0,94104,153424566174
6,1457,0.0,4.0,4.0,,50000.0,60000.0,7.0,7.0,2,,5.0,5.0,3.0,94109,1382302407147
4,1890,,4.0,4.0,,1000.0,1000.0,,,2,,2.0,2.0,9.0,94110,1380476435574
6,1390,0.0,29.0,29.0,,60000.0,60000.0,448.0,448.0,2,,1.0,1.0,6.0,94102,1379565469167
6,298,,2.0,2.0,,700000.0,1300000.0,,,2,,5.0,5.0,9.0,94103,1382461168067
3,3130,,4.0,4.0,,5000.0,80000.0,1.0,1.0,2,,5.0,5.0,2.0,94115,1383276434781
3,298,,2.0,2.0,,1.0,1.0,,,0,,5.0,5.0,9.0,94103,1530985168067
6,524,,2.0,2.0,,10500.0,10500.0,,,2,,3.0,3.0,6.0,94107,1530355367413
3,114,0.0,14.0,14.0,,195000.0,195000.0,,,2,,1.0,1.0,3.0,94104,1535077298814
1,221,,31.0,31.0,,80000.0,80000.0,,,2,,1.0,1.0,3.0,94104,1379490385915
7,600,,5.0,5.0,,25000.0,35000.0,0.0,0.0,2,,1.0,1.0,6.0,94103,1380906167600
3,901,,2.0,2.0,,1.0,1.0,,,2,,3.0,3.0,10.0,94124,1383169504037
4,651,,4.0,4.0,,1000000.0,3000000.0,,,2,,2.0,2.0,6.0,94107,1381235167656
5,350,,4.0,4.0,,100000.0,100000.0,0.0,0.0,2,,2.0,2.0,10.0,94103,1388905473614
1,1001,,9.0,9.0,,3400.0,3485.0,67.0,67.0,2,,1.0,1.0,6.0,94103,1536726510049
5,3222,,3.0,3.0,,7500.0,12000.0,1.0,1.0,0,,5.0,5.0,2.0,94118,138213685628
2,1670,,,,,7000.0,7000.0,,,2,,,,10.0,94124,1537790429517
5,235,,25.0,25.0,,5661.0,5661.0,,,2,,1.0,1.0,3.0,94104,138305066161
2,665,,5.0,5.0,,12500.0,12500.0,,,2,,1.0,1.0,6.0,94107,1383237364873
8,1134,,0.0,0.0,,2500.0,2500.0,0.0,0.0,2,,,,5.0,94115,907748391274
4,167,,0.0,4.0,,3000.0,3000.0,0.0,2.0,2,,,5.0,7.0,94132,1380056501243
5,140,,3.0,3.0,,120000.0,150000.0,1.0,1.0,2,,5.0,5.0,7.0,94127,1382047152351
1,555,0.0,52.0,52.0,,9870.0,9870.0,,,2,,1.0,1.0,3.0,94104,1533040298587
1,415,,63.0,63.0,,54100.0,54100.0,,,2,,1.0,1.0,6.0,94105,1536138495332
7,747,,3.0,3.0,,1.0,0.0,,,2,,1.0,1.0,6.0,94103,1379527350345
5,1471,,3.0,3.0,,57000.0,0.0,12.0,12.0,2,,5.0,5.0,3.0,94109,1382649232896
8,171,,0.0,4.0,,1.0,1.0,0.0,2.0,0,,,5.0,7.0,94132,1386190504118
1,1072,,2.0,2.0,,50000.0,50000.0,1.0,1.0,2,,5.0,5.0,6.0,94103,1381024370539
5,1201,0.0,16.0,16.0,,4500.0,4500.0,82.0,82.0,2,,1.0,1.0,3.0,94109,1381802420229
2,50,,5.0,5.0,,3000.0,3000.0,,,2,,2.0,2.0,3.0,94133,153034561369
7,1,,38.0,38.0,,43192.0,90000.0,0.0,0.0,2,,1.0,1.0,3.0,94111,1386675390418
6,917,,4.0,4.0,,4000.0,4000.0,59.0,59.0,2,,5.0,5.0,6.0,94107,1380949278525
5,2200,0.0,4.0,4.0,,1.0,2000.0,15.0,15.0,2,,5.0,5.0,2.0,94123,1379113420292
7,845,,1.0,1.0,,85000.0,85000.0,,,2,,1.0,1.0,6.0,94103,1527424448478
8,1445,,3.0,3.0,,7500.0,7500.0,4.0,4.0,2,,5.0,5.0,3.0,94109,1529046265570
5,201,,30.0,30.0,,1000.0,1000.0,,,2,,1.0,1.0,6.0,94105,1524437164647
6,1800,,12.0,12.0,,2650000.0,2650000.0,,,2,,1.0,1.0,6.0,94158,1522584508133
4,500,0.0,11.0,11.0,,3772797.0,3772797.0,,,2,,1.0,1.0,6.0,94105,1528183480621
4,15,,4.0,4.0,,57000.0,0.0,11.0,11.0,2,,5.0,5.0,6.0,94103,1522298246496
7,1,,38.0,38.0,,898860.0,898860.0,,,2,,1.0,1.0,3.0,94111,1527116390418
3,415,,63.0,63.0,,94000.0,350000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1529989495332
2,181,,55.0,55.0,,15000.0,15000.0,67.0,67.0,2,,1.0,1.0,6.0,94105,1529842510886
8,2421,,,4.0,,10000.0,22000.0,,12.0,2,,,5.0,9.0,94103,1357587489974
4,555,0.0,19.0,19.0,,879000.0,879000.0,,,2,,1.0,1.0,3.0,94111,1529181296981
2,444,,2.0,2.0,,1400.0,2880.0,,,2,,1.0,1.0,10.0,94107,1529620168319
1,1,,45.0,45.0,,225000.0,225000.0,,,2,,1.0,1.0,3.0,94126,152229463347
4,250,,,12.0,,1.0,1.0,,208.0,2,,,1.0,6.0,94103,1530026165532
5,580,0.0,23.0,23.0,,3605.0,3605.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1357375296596
7,0,,0.0,0.0,,1.0,1.0,0.0,0.0,0,,,,10.0,94124,1043568449411
3,3455,0.0,4.0,4.0,,1000.0,1000.0,15.0,15.0,2,,5.0,5.0,2.0,94123,1530363413455
1,601,,13.0,13.0,,200000.0,200000.0,449.0,449.0,2,,1.0,1.0,2.0,94102,152896880969
7,201,,30.0,30.0,,1425.0,1425.0,,,2,,1.0,1.0,6.0,94105,1530476164647
5,900,534.0,2.0,2.0,,1.0,1.0,,,2,,3.0,3.0,2.0,94109,1689187501832
8,415,,63.0,63.0,,67680.0,67680.0,,,2,,1.0,1.0,6.0,94105,1521796495332
3,650,0.0,34.0,34.0,,15000.0,15000.0,0.0,0.0,2,,1.0,1.0,3.0,94108,1528018296980
3,1800,,12.0,12.0,,2650000.0,2650000.0,,,2,,1.0,1.0,6.0,94158,1522583508133
2,185,,5.0,5.0,,5000.0,5000.0,0.0,0.0,2,,1.0,1.0,6.0,94158,1524405388160
4,501,14.0,22.0,22.0,,8500.0,8500.0,136.0,136.0,0,,1.0,1.0,6.0,94105,1361450451166
4,367,,0.0,,,2400.0,46000.0,0.0,,2,,,,10.0,94124,1050436184548
5,1070,0.0,3.0,3.0,,100000.0,40000.0,16.0,16.0,2,,5.0,5.0,6.0,94103,1528132409101
5,255,,,,,20000.0,20000.0,,,2,,,,,94127,1050522450016
8,4096,,3.0,3.0,,2495.0,2495.0,20.0,20.0,0,,3.0,3.0,8.0,94114,1353600247787
4,14,,2.0,2.0,,300.0,300.0,4.0,4.0,0,,5.0,5.0,6.0,94103,1354982165419
4,9,,,1.0,,151250.0,230000.0,,0.0,2,,,5.0,7.0,94127,1355240495569
5,333,,,5.0,,14000.0,14000.0,0.0,0.0,2,,,1.0,6.0,94107,1345164488747
5,1759,,0.0,1.0,,26180.0,0.0,0.0,0.0,2,,,5.0,7.0,94122,1355004500661
7,2125,,0.0,0.0,,12000.0,12000.0,0.0,0.0,2,,1.0,1.0,9.0,94110,1033957388238
7,421,,3.0,3.0,,10000.0,10000.0,1.0,1.0,0,,3.0,3.0,6.0,94103,1344154165467
4,1155,,0.0,6.0,,550.0,550.0,0.0,147.0,2,,,1.0,6.0,94158,1338331484758
6,455,0.0,1.0,2.0,,1.0,1.0,0.0,1.0,2,,5.0,5.0,10.0,94110,1335685419302
1,3540,,3.0,3.0,,900000.0,900000.0,1.0,1.0,2,,5.0,5.0,2.0,94118,151493285552
3,1100,,10.0,10.0,,295000.0,295000.0,,,2,,1.0,1.0,3.0,94109,151346879883
5,940,0.0,7.0,7.0,,50000.0,50000.0,,,2,,3.0,3.0,3.0,94102,1520404466671
7,845,,9.0,9.0,,5000.0,5000.0,,,2,,1.0,1.0,6.0,94103,1514025448480
4,1,,40.0,40.0,,190000.0,190000.0,,,2,,1.0,1.0,3.0,94126,151395063347
6,1,,25.0,25.0,,10000.0,10000.0,,,2,,1.0,1.0,3.0,94111,1339030289258
5,1,,42.0,42.0,,2400.0,2400.0,,,2,,1.0,1.0,6.0,94105,1513948164604
4,1000,,7.0,7.0,,4000.0,4000.0,,,2,,3.0,3.0,3.0,94109,1518512510061
7,1090,,13.0,13.0,,150000.0,150000.0,12.0,12.0,2,,1.0,1.0,2.0,94109,151353256653
1,128,,3.0,3.0,,3500.0,3500.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1336810156332
6,500,0.0,11.0,11.0,,36000.0,36000.0,,,2,,1.0,1.0,6.0,94105,1515104480621
3,121,,24.0,24.0,,1.0,1.0,320.0,320.0,2,,1.0,1.0,6.0,94105,1513396436366
4,450,,26.0,26.0,,226864.0,226865.0,0.0,0.0,2,,1.0,1.0,3.0,94108,151676166980
8,100,,7.0,,,10000.0,10000.0,,,2,,3.0,,3.0,94111,151660866078
7,1095,,9.0,9.0,,1.0,1.0,203.0,203.0,2,,1.0,1.0,6.0,94103,1514785164346
1,1877,,1.0,1.0,,85000.0,120000.0,,,2,,5.0,5.0,2.0,94123,152148773762
8,275,0.0,30.0,30.0,,719532.0,719532.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1520905296686
7,153,,9.0,9.0,,2500000.0,2500000.0,,,2,,1.0,1.0,6.0,94107,1513585386031
6,100,,25.0,25.0,,5000.0,5000.0,,,2,,1.0,1.0,3.0,94104,1515403372147
3,1,,32.0,32.0,,1780697.0,1780697.0,,,2,,1.0,1.0,3.0,94111,151661566082
